149,261,32.95,0,0,"2004-12-24",\N
150,60,83.95,0,0,"2004-12-24",\N
151,53,39.75,0,0,"2004-12-24",\N
152,137,54.95,0,0,"2004-12-24",\N
153,137,54.95,0,0,"2004-12-24",\N
154,282,90.00,0,0,"2004-12-24",\N
155,270,7.75,0,0,"2004-12-24",\N
156,92,-11.60,0,0,"2004-12-24",\N
157,92,15.80,0,0,"2004-12-24",\N
158,92,15.80,0,0,"2004-12-24",\N
159,260,17.95,0,0,"2004-12-24",\N
160,260,17.95,0,0,"2004-12-24",\N
161,260,17.95,0,0,"2004-12-24",\N
162,260,-13.85,0,0,"2004-12-24",\N
163,49,10.95,0,0,"2004-12-24",\N
164,91,18.95,0,0,"2004-12-24",\N
165,93,75.00,0,0,"2004-12-24",\N
166,49,10.95,0,0,"2004-12-24",\N
167,49,-1.90,0,0,"2004-12-24",\N
168,93,87.95,0,0,"2004-12-24",\N
169,265,19.80,0,0,"2004-12-24",\N
170,16,16.25,0,0,"2004-12-24",\N
171,301,149.00,0,0,"2004-12-24",\N
172,301,69.95,0,0,"2004-12-24",\N
173,19,5.95,0,0,"2004-12-24",\N
174,262,5.00,0,0,"2004-12-24",\N
175,271,23.00,\N,\N,"2004-12-30",\N
176,271,23.00,\N,\N,"2004-12-30",\N
177,134,45.60,\N,\N,"2004-12-31",\N
178,94,16.00,\N,\N,"2004-12-31",\N
179,105,12.00,\N,\N,"2004-12-31",\N
180,134,249.95,\N,\N,"2004-12-31",\N
181,263,60.00,\N,\N,"2004-12-31",\N
182,149,280.00,\N,\N,"2004-12-31",\N
183,150,149.00,\N,\N,"2004-12-31",\N
184,92,15.80,\N,\N,"2004-12-31",\N
185,92,15.80,\N,\N,"2004-12-31",\N
186,92,-13.60,\N,\N,"2004-12-31",\N
187,282,139.50,\N,\N,"2004-12-31",\N
188,282,-49.55,\N,\N,"2004-12-31",\N
189,231,14.95,\N,\N,"2004-12-31",\N
190,231,14.95,\N,\N,"2004-12-31",\N
191,231,-5.90,\N,\N,"2004-12-31",\N
192,262,17.95,\N,\N,"2004-12-31",\N
193,1,6.85,\N,\N,"2004-12-31",\N
194,19,11.90,\N,\N,"2004-12-31",\N
195,151,5.95,\N,\N,"2004-12-31",\N
196,102,9.95,\N,\N,"2004-12-31",\N
197,130,52.80,\N,\N,"2004-12-31",\N
198,279,18.95,\N,\N,"2004-12-31",\N
199,279,18.95,\N,\N,"2004-12-31",\N
200,279,18.95,\N,\N,"2004-12-31",\N
201,279,18.95,\N,\N,"2004-12-31",\N
202,279,-30.80,\N,\N,"2004-12-31",\N
203,270,7.75,\N,\N,"2004-12-31",\N
204,91,26.95,\N,\N,"2004-12-31",\N
205,1,5.95,\N,\N,"2004-12-31",\N
206,112,16.50,\N,\N,"2004-12-31",\N
207,46,30.95,\N,\N,"2004-12-31",\N
208,60,83.95,\N,\N,"2004-12-31",\N
209,270,19.00,\N,\N,"2004-12-31",\N
210,137,44.95,\N,\N,"2004-12-31",\N
211,231,18.80,\N,\N,"2004-12-31",\N
212,275,11.95,\N,\N,"2004-12-31",\N
213,1,5.95,\N,\N,"2004-12-31",\N
214,151,99.95,\N,\N,"2004-12-31",\N
215,151,99.95,\N,\N,"2004-12-31",\N
216,223,150.00,\N,\N,"2005-01-12",\N
217,134,320.00,\N,\N,"2005-01-12",\N
218,134,120.00,\N,\N,"2005-01-12",\N
219,102,18.00,\N,\N,"2005-01-12",\N
220,134,76.00,\N,\N,"2005-01-12",\N
221,149,280.00,\N,\N,"2005-01-12",\N
222,135,44.00,\N,\N,"2005-01-12",\N
223,77,150.00,\N,\N,"2005-01-12",\N
224,135,84.00,\N,\N,"2005-01-12",\N
225,135,32.00,\N,\N,"2005-01-12",\N
226,46,29.75,\N,\N,"2005-01-12",\N
227,260,150.00,\N,\N,"2005-01-12",\N
228,260,96.00,\N,\N,"2005-01-12",\N
229,260,38.95,\N,\N,"2005-01-12",\N
230,260,58.00,\N,\N,"2005-01-12",\N
231,260,158.00,\N,\N,"2005-01-12",\N
232,260,39.75,\N,\N,"2005-01-12",\N
233,260,39.75,\N,\N,"2005-01-12",\N
234,282,9.95,\N,\N,"2005-01-12",\N
235,260,48.00,\N,\N,"2005-01-12",\N
236,263,104.50,\N,\N,"2005-01-12",\N
